CompanyID,CompanyName,Industry,Region,Revenue,Calculated_Profit,ESG_Overall,Sustainability_Status,CarbonEmissions,Carbon_Intensity
1,Company_1,Retail,"Latin America",459.2,27.552,57,Average_Performer,35577.4,77.47691637630662
1,Company_1,Retail,"Latin America",473.8,21.7948,56.7,Average_Performer,37314.7,78.75622625580412
1,Company_1,Retail,"Latin America",564.9,29.3748,56.5,Average_Performer,45006.4,79.67144627367676
1,Company_1,Retail,"Latin America",558.4,24.0112,58,Average_Performer,42650.1,76.37911891117479
1,Company_1,Retail,"Latin America",554.5,27.1705,56.6,Average_Performer,41799.4,75.38214607754735
1,Company_1,Retail,"Latin America",567.5,34.05,55.7,Average_Performer,42245.4,74.44123348017621
1,Company_1,Retail,"Latin America",604.2,31.418400000000005,55.6,Average_Performer,44263.8,73.26017874875869
1,Company_1,Retail,"Latin America",593.2,24.914400000000004,57.7,Average_Performer,42536.3,71.70650708024274
1,Company_1,Retail,"Latin America",636.7,33.7451,57.8,Average_Performer,45956.3,72.17889115753101
1,Company_1,Retail,"Latin America",687,31.602,58.5,Average_Performer,49289.1,71.74541484716157
1,Company_1,Retail,"Latin America",734.5,36.725,59.2,Average_Performer,51805.8,70.53206262763786
2,Company_2,Retail,Asia,2934.8,-85.1092,59.9,Average_Performer,226554.2,77.19578846940166
2,Company_2,Retail,Asia,3140.3,-34.5433,60.6,Average_Performer,242555.1,77.23946756679298
2,Company_2,Retail,Asia,3463.1,-76.18820000000001,61.7,Average_Performer,266651.3,76.99786318616269
2,Company_2,Retail,Asia,2939.7,-49.9749,61.5,Average_Performer,225701.3,76.77698404599109
2,Company_2,Retail,Asia,3125.6,37.5072,61.1,Average_Performer,237019.5,75.83168031737907
2,Company_2,Retail,Asia,2999.8,-8.999400000000001,63.3,Average_Performer,225128.2,75.04773651576772
2,Company_2,Retail,Asia,3167.9,-12.6716,63,Average_Performer,240710.6,75.98427980681208
2,Company_2,Retail,Asia,3106.4,24.851200000000002,64,Average_Performer,227761.4,73.32004893123873
2,Company_2,Retail,Asia,3691.6,-25.841199999999997,66,Average_Performer,271015.1,73.41399393217033
2,Company_2,Retail,Asia,3822.9,-45.8748,65.7,Average_Performer,283660,74.20021449684793
2,Company_2,Retail,Asia,4371.5,-104.916,66.3,Average_Performer,323282,73.95219032368752
3,Company_3,Transportation,"Latin America",259.7,15.3223,25.5,"High Risk / Laggard",183314.5,705.8702348864074
3,Company_3,Transportation,"Latin America",245.2,20.842000000000002,26.9,"High Risk / Laggard",169346.3,690.6455954323002
